"Rakuten Checkout","Rakuten Checkout"
"General Settings","Allgemeine Einstellungen"
"Enabled","Aktiviert"
"Integration Method","Integrationsart"
"Shipping Rates","Versandkosten"
"<![CDATA[CSV format: country, price, days_in_transit (optional).<br/>For example:<br/>DE,7.99,3<br/>AT,14.99]]>","<![CDATA[CSV Format: Land, Preis, Lieferzeit (optional).<br/>Zum Beispiel:<br/>DE,7.99,3<br/>AT,14.99]]>"
"Sandbox Mode","Sandbox Mode"
"Debug Mode","Debug Mode"
"Authentication Settings","Technische Einstellungen"
"Project ID","Project ID"
"API Key","API Key"
"API Callback URL","API Callback URL"
"Copy it to the callback URL configuration in Rakuten Checkout backend.","Copy it to the callback URL configuration in Rakuten Checkout backend."
"Sign Up on Rakuten Checkout","Rakuten Checkout Registrierung"
"Sign up for Sandbox Account","Sandbox Account"
"Miscellaneous Settings","Erweiterte Einstellungen"
"Billing Address","Rechnungsadresse"
"Billing Address Restrictions","Einstellungen Rechnungsadresse"
"Select type of billing addresses you accept","Wählen Sie akzeptierte Arten von Rechnungsadressen"
"Billing Country","Rechnungsland"
"Applicable Countries","Verwendbare Länder"
"Other Settings","Weitere Einstellungen"
"Turn Off Coupons","Gutscheine deaktivieren"
"If Rakuten Checkout is the only one payment method you are using it's recommended to turn off coupons in the shopping cart.","Sollten Sie Rakuten Checkout als alleiniges Zahlungssystem verwenden, ist es empfohlen die Gutscheine im Shopsystem zu deaktivieren und die Funktion innerhalb des Rakuten Checkouts zu verwenden."
"Rakuten Button Wrapper","Rakuten Button Wrapper"
"Unknown payment method.","Unbekannte Zahlungsmethode."
"Cannot send shipment to Rakuten Checkout.","Kann nicht senden Versand an Rakuten Checkout."
"Error #%s: %s","Fehler #%s: %s"
"Unable to redirect to Rakuten Checkout.","Fehler bei der Weiterleitung zu Rakuten Checkout."
"Current currency %s isn't supported by Rakuten Checkout.","Währung %s wird von Rakuten Checkout nicht unterstützt."
"Supported currency is %s.","Folgende Währung wird unterstützt %s."
"Supported currencies are %s.","Folgende Währungen werden unterstützt %s."
"Standard","Standard"
"Inline","Inline"
"All Addresses","Alle Adressen"
"Business Addresses Only","Nur Geschäftsadressen"
"Private Addresses Only","Nur Privatadressen"
"Customer's Comment: %s","Kundenkommentar: %s"
"Rakuten Order No: %s","Rakuten Bestellnummer: %s"
"Rakuten Client ID: %s","Rakuten Kundennummer: %s"
"Rakuten Invoice No: %s","Rakuten Rechnungsnummer: %s"
"--Please Select--","--Bitte wählen--"
"Looking for Rakuten Checkout configuration?","Suchen Sie nach den Einstellungen für Rakuten Checkout?"
"Please look in the left menu - we have our own tab under Sales there.","Sie finden den Rakuten Checkout links im eigenen Tab."
"Go to Rakuten Checkout configuration.","Zu den Rakuten Checkout Einstellungen."
"Checkout with Rakuten","Zur Kasse mit Rakuten Checkout"
"About Rakuten Checkout","Über Rakuten Checkout"
"Rakuten Checkout - Your Checkout Service Provider","Rakuten Checkout - Ihr Checkout Service"
